Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-751.0859	-822.2462	71.16033	0.024891	0.0307888	0.0419617	0.0669398	0.00242425	0.00317739	0.00344727	0.00355876	0.00249892	0.00898948	0.0247155	0.00591003	0.00324522	0.00193458	0.0155982	0.00204176	0.00833481	0.0175706	0.00532581	0.0165735	0.00397125	0.00225802	0.00766691	0.00899659	0.0151944	0.0136131	0.0182025	0.0130327	0.0201911	0.044482	0.00818224	0.0010241	0.00515181	0.00041652	0.00197169	0.00125965	0.00583321	0.109364	0.010147	0.000517042	0.0120812	0.0338514	0.0295882	0.011446	0.0114654	0.0195615	0.0303245	0.0187001	0.00655315	0.00178015	0.0126646	0.6976076	0.5356355	0.0232177	0.15959	0.564095	1.77275	6.26605	43.0705	2.720791	0.0323503	0.0400156	0.0545368	0.0870004	0.00315075	0.0041296	0.00448035	0.00462526	0.00324781	0.0116835	0.0321222	0.00768116	0.00421776	0.00251434	0.0202727	0.00265364	0.0108326	0.0228362	0.00692186	0.0215402	0.00516136	0.0029347	0.00996454	0.0116927	0.0197479	0.0176927	0.0236575	0.0169384	0.026242	0.0578125	0.0106343	0.001331	0.00669571	0.000541343	0.00256257	0.00163714	0.00758132	0.142139	0.0131879	0.00067199	0.0157017	0.043996	0.0384553	0.0148761	0.0149013	0.0254237	0.0394122	0.0243042	0.00851701	0.00231363	0.0164599	1.095932	0.651196	0.348804	0.7694195
36	-759.411	-830.3381	70.9271	0.0319021	0.0250152	0.0383325	0.116039	0.00685027	0.00180618	0.00190822	0.011549	0.00970798	0.00279887	0.0195757	0.00542376	0.0156563	0.00848492	0.0773285	0.0232625	0.000999211	0.0457873	0.0253226	0.101078	0.0528389	0.0702718	0.0140766	0.0237871	0.0022234	0.021155	0.0347055	0.0326258	0.0609084	0.0194862	0.0127497	0.00761884	0.00849795	0.0341338	0.00102474	0.00395609	0.0136122	0.208742	0.000811412	0.00504446	0.0183131	0.00972069	0.017515	0.0162611	0.013027	0.182226	0.0370728	0.0101078	0.0198402	0.0162494	0.0353896	0.7204714	0.5630757	0.0612202	0.256074	0.653764	1.5296	3.90512	16.3345	2.019733	0.0202834	0.0159047	0.0243718	0.0737777	0.0043554	0.00114837	0.00121325	0.00734283	0.00617234	0.00177952	0.0124462	0.00344843	0.00995428	0.00539471	0.0491655	0.0147903	0.000635299	0.0291116	0.0161001	0.0642657	0.033595	0.0446788	0.00894992	0.0151239	0.00141364	0.0134504	0.0220658	0.0207435	0.0387256	0.0123893	0.00810628	0.00484406	0.005403	0.0217023	0.000651532	0.00251528	0.00865465	0.132718	0.000515896	0.00320727	0.0116435	0.00618042	0.011136	0.0103388	0.00828257	0.115859	0.0235709	0.00642653	0.0126144	0.0103314	0.0225007	1.08804	0.639764	0.360236	1.572821
72	-753.4484	-823.968	70.51968	0.0880547	0.00293908	0.0624139	0.034521	0.00463967	0.000807875	0.00559116	0.0035327	0.00283025	0.0167066	0.0694339	0.0177155	0.00383527	0.00155492	0.0435423	0.00782896	0.00343554	0.0158408	0.0297464	0.0270705	0.0288066	0.0388191	0.015167	0.0054212	0.0352637	0.00935363	0.00940852	0.00237332	0.0341814	0.0328062	0.0178628	0.00565338	0.0195795	0.0337139	0.00449959	0.0313249	0.00490349	0.0766948	0.00393531	0.00050448	0.00278534	0.0229804	0.00519029	0.0137903	0.0380506	0.10828	0.0552971	0.00515275	0.0200901	0.00648065	0.0205395	1.11418	1.257796	0.0484047	0.228358	0.630812	1.58526	4.37909	20.6592	2.189567	0.0765061	0.00255361	0.0542281	0.0299935	0.00403117	0.00070192	0.00485786	0.00306938	0.00245905	0.0145155	0.0603274	0.015392	0.00333226	0.00135098	0.0378316	0.00680217	0.00298496	0.0137632	0.0258451	0.0235202	0.0250285	0.0337278	0.0131778	0.00471019	0.0306388	0.00812687	0.00817456	0.00206205	0.0296984	0.0285035	0.01552	0.00491192	0.0170116	0.0292922	0.00390946	0.0272165	0.00426038	0.066636	0.00341918	0.000438316	0.00242003	0.0199665	0.00450957	0.0119817	0.0330602	0.0940787	0.0480447	0.00447695	0.0174552	0.00563069	0.0178457	0.9680053	0.44291	0.55709	1.150951
108	-749.7422	-820.7908	71.04867	0.0460437	0.0308596	0.0185564	0.0138421	0.00195629	9.08076e-05	0.00207372	0.00127202	0.00301939	0.00827683	0.00223832	0.00437917	0.00113067	0.000572336	0.00956002	0.00196615	0.00266447	0.00634244	0.00641175	0.0265878	0.00204073	0.00628589	0.0020614	0.00155876	0.00537433	0.00109727	0.0262146	0.00934679	0.0114381	0.0751473	0.0062347	0.00350698	0.00677241	0.00974999	0.000272607	0.00615535	0.00671398	0.0575789	0.00190972	0.0123518	0.00121231	0.00924826	0.0029491	0.0059542	0.00323228	0.0129968	0.043029	0.0226092	0.00816095	0.00260744	0.0092048	0.7455626	0.5943402	0.0195726	0.146836	0.549626	1.81942	6.81032	51.0919	2.844283	0.0820948	0.055022	0.0330856	0.0246801	0.00348803	0.000161908	0.0036974	0.00226798	0.0053835	0.0147574	0.00399087	0.00780796	0.00201597	0.00102046	0.0170453	0.0035056	0.00475068	0.0113084	0.011432	0.0474055	0.00363858	0.0112076	0.00367542	0.00277924	0.0095823	0.0019564	0.0467399	0.0166651	0.0203939	0.133986	0.0111163	0.00625286	0.012075	0.017384	0.000486051	0.0109748	0.0119709	0.102662	0.00340498	0.0220229	0.00216151	0.0164894	0.00525818	0.0106162	0.00576307	0.023173	0.0767197	0.0403116	0.0145508	0.004649	0.016412	1.079509	0.627219	0.372781	0.5608599
144	-758.7968	-827.9915	69.19475	0.00481223	0.00183496	0.00726676	0.0127196	0.00135654	0.000133158	0.000540084	0.000732475	0.000524345	0.000217812	0.00387488	0.000433997	0.00262533	0.000453501	0.00302333	0.00149165	0.00130236	0.00286914	0.00133424	0.00338814	0.000594039	0.000720246	0.000514141	1.90938e-05	0.000897119	0.000366024	0.00561692	0.000604904	0.00122475	0.0241953	0.00269046	0.00135679	0.000789904	0.00323163	0.000102078	0.000593788	0.00301986	0.0193527	0.000435466	0.000575067	0.00185328	0.0054501	0.00173507	0.000790548	0.00270437	0.00104302	0.00642739	0.00456138	0.00380142	0.003061	0.00151159	1.021344	1.043619	0.00620176	0.0838309	0.461447	2.1671	11.9288	161.245	3.675303	0.0319169	0.0121702	0.0481963	0.0843622	0.00899717	0.000883161	0.00358208	0.0048581	0.00347769	0.00144462	0.0256999	0.00287846	0.0174123	0.00300782	0.0200521	0.00989326	0.00863785	0.0190294	0.00884925	0.0224717	0.00393993	0.00477699	0.00341001	0.000126638	0.00595009	0.00242763	0.0372539	0.00401199	0.00812311	0.160474	0.0178443	0.00899886	0.00523899	0.0214336	0.000677025	0.00393827	0.0200291	0.128356	0.0028882	0.0038141	0.0122918	0.0361475	0.0115078	0.00524327	0.0179366	0.00691776	0.0426293	0.0302531	0.0252127	0.0203019	0.0100255	0.9938594	0.489328	0.510672	0.150774
180	-746.811	-816.5212	69.71017	0.00736209	0.00027875	0.00549463	0.00699124	0.000963202	0.000197044	0.000300513	8.46062e-05	0.00074708	0.00340061	0.000423777	0.000199732	0.000194134	0.000797446	0.00342864	0.000771128	0.000569786	0.00342221	0.00147574	0.00763665	0.00462448	0.00240205	0.000928247	9.45238e-05	0.000379267	1.77694e-05	0.00431352	0.00107212	3.22399e-05	0.0294216	0.00501103	0.00195313	0.00291724	0.00129457	0.000462141	0.000205888	0.00177965	0.012635	0.000749905	0.000434317	0.00528475	0.000291994	0.00191241	0.000760232	0.00340127	0.000160482	0.00332302	0.000578797	0.00396203	0.00171423	0.000505344	0.7567944	0.6087443	0.00686323	0.0880784	0.468618	2.13394	11.3535	145.704	3.602023	0.0535962	0.0020293	0.0400011	0.0508964	0.00701213	0.00143449	0.00218774	0.000615935	0.00543876	0.0247565	0.00308511	0.00145406	0.0014133	0.00580543	0.0249606	0.00561383	0.00414805	0.0249137	0.0107434	0.055595	0.0336663	0.017487	0.00675766	0.000688135	0.00276107	0.000129362	0.0314025	0.00780503	0.000234707	0.21419	0.0364804	0.0142188	0.0212376	0.00942447	0.00336439	0.00149887	0.0129559	0.0919827	0.00545933	0.00316184	0.0384731	0.00212572	0.0139224	0.00553451	0.0247613	0.00116832	0.0241917	0.00421365	0.0288436	0.0124797	0.00367891	1.075733	0.621603	0.378397	0.1373622
216	-753.4531	-824.2811	70.82796	0.0193746	0.000588066	0.0146498	0.00812052	0.000211252	0.00446644	0.00365861	0.000277365	0.00144633	0.00242382	0.00434943	0.00329288	0.00209234	0.00222652	0.0162587	0.00116741	0.000609686	0.000801723	0.0159504	0.00916846	0.00643877	0.00920257	0.00100075	0.000934002	0.000495622	0.00110641	0.0127972	0.00292818	0.0010431	0.0315949	0.00100174	0.00606599	0.00388052	0.0031127	0.00559647	0.000772965	0.0063013	0.0539737	0.00180447	0.00738022	0.0203368	0.00440688	0.00784103	0.00994202	0.0224413	0.00485892	0.00485161	0.0125166	0.0142838	0.00317444	0.0104605	0.7105865	0.5510928	0.0136532	0.123183	0.520317	1.9219	8.11802	73.2427	3.104697	0.0504969	0.0015327	0.0381823	0.0211648	0.000550594	0.0116411	0.00953558	0.000722907	0.00376963	0.00631729	0.0113361	0.00858236	0.00545335	0.00580307	0.0423756	0.00304266	0.00158905	0.00208956	0.0415721	0.0238961	0.0167816	0.023985	0.0026083	0.00243433	0.00129176	0.00288368	0.0333539	0.00763182	0.00271866	0.0823471	0.00261088	0.01581	0.0101139	0.00811275	0.0145863	0.00201461	0.0164233	0.140674	0.00470305	0.0192354	0.0530046	0.0114858	0.0204364	0.0259123	0.0584896	0.012664	0.0126449	0.0326226	0.0372285	0.00827368	0.0272637	1.091438	0.644707	0.355293	0.3836799
252	-758.4365	-828.9318	70.49526	0.0302466	0.000859196	0.0135338	0.0170898	0.000109698	0.000305677	7.5213e-05	0.000766794	0.000246071	0.00421535	0.00429224	0.000156878	0.00437347	0.000265873	0.00398327	0.00247728	0.00147326	0.00252153	0.00849341	0.0144011	0.00525367	0.00603321	0.000423111	0.00377497	0.00213412	0.00163739	0.00465823	0.00088009	0.000168066	0.0490038	0.00193188	0.00176604	0.00543707	0.00138108	0.00694275	0.000695737	0.00604528	0.0445093	0.000623319	0.00339178	0.0101584	0.00410661	0.00514241	0.000816727	0.0360306	0.0122719	0.00742841	0.0203492	0.00866131	0.00403127	0.00558031	0.8544716	0.7459192	0.0126447	0.118658	0.514277	1.94448	8.42761	79.0846	3.160186	0.0814934	0.00231493	0.036464	0.0460451	0.000295558	0.000823583	0.000202646	0.00206597	0.000662988	0.0113574	0.0115646	0.000422675	0.0117834	0.00071634	0.0107321	0.00667453	0.00396941	0.00679375	0.0228837	0.0388009	0.0141549	0.0162552	0.00113999	0.0101709	0.00574995	0.00441161	0.0125507	0.00237122	0.000452819	0.132031	0.00520505	0.00475824	0.0146491	0.00372105	0.0187058	0.00187452	0.0162878	0.119921	0.00167941	0.00913846	0.0273696	0.0110644	0.0138552	0.0022005	0.097077	0.033064	0.0200143	0.0548268	0.0233361	0.0108614	0.015035	1.043979	0.572764	0.427236	0.3711546
288	-755.4221	-826.3581	70.936	0.00502684	0.0169615	0.0569928	0.0466256	0.00514239	0.00254622	0.000146987	0.00647731	2.95975e-05	0.012482	0.0385793	0.00353113	0.00186935	0.00451695	0.0713478	0.0145532	0.00529252	0.0247969	0.0394741	0.0820486	0.0288861	0.0223214	0.000731379	0.006391	0.000739914	0.00128315	0.00640152	0.00286146	0.00257447	0.0801933	0.0223864	0.00939435	0.0106184	0.00346549	0.0381353	0.00149005	0.010467	0.0856865	0.00129243	0.00243879	0.0183765	0.0759738	0.00737482	0.00479854	0.0217841	0.0191667	0.0155394	0.0147651	0.0227394	0.00697416	0.0045439	0.926728	0.8634604	0.0400645	0.208239	0.61292	1.63153	4.80217	24.9597	2.326304	0.00508668	0.0171634	0.0576712	0.0471806	0.0052036	0.00257653	0.000148736	0.00655442	2.99499e-05	0.0126306	0.0390386	0.00357316	0.00189161	0.00457072	0.0721972	0.0147264	0.00535552	0.025092	0.039944	0.0830253	0.0292299	0.0225871	0.000740085	0.00646708	0.000748722	0.00129842	0.00647773	0.00289552	0.00260512	0.081148	0.0226529	0.00950618	0.0107448	0.00350674	0.0385892	0.00150779	0.0105916	0.0867065	0.00130781	0.00246782	0.0185952	0.0768782	0.00746261	0.00485566	0.0220434	0.0193949	0.0157244	0.0149409	0.0230101	0.00705718	0.00459799	1.02167	0.536636	0.463364	0.988236
324	-762.4344	-832.8313	70.39692	0.0620037	0.0282465	0.0394227	0.0129207	0.00189964	0.00719555	0.00321336	0.0129325	0.031008	0.00369072	0.0460081	0.0137508	0.0080902	0.00639041	0.0674195	0.00471958	0.0113603	0.013274	0.0346339	0.0504059	0.000102	0.061446	0.0105448	0.0237091	0.000262919	0.00796585	0.0274855	0.0016272	0.0240825	0.00428625	0.0496745	0.0171318	0.173427	0.0032589	0.00511224	0.0994588	0.0151081	0.0394058	0.0258276	0.0120673	0.0226938	0.0422468	0.015235	0.0123864	0.128089	0.00804255	0.0229457	0.00480227	0.00935914	0.00509028	0.0124611	0.999523	0.9990465	0.0405116	0.209369	0.613956	1.62878	4.77625	24.6843	2.318279	0.0461363	0.021018	0.0293341	0.00961419	0.00141351	0.00535414	0.00239103	0.00962296	0.0230727	0.00274623	0.0342342	0.0102318	0.00601984	0.00475504	0.0501662	0.00351179	0.0084531	0.00987709	0.0257708	0.0375065	7.58974e-05	0.0457213	0.00784632	0.0176417	0.000195636	0.00592731	0.0204517	0.00121078	0.0179195	0.00318936	0.0369623	0.0127476	0.129046	0.00242492	0.00380397	0.0740063	0.0112418	0.0293215	0.019218	0.00897914	0.0168862	0.0314354	0.0113362	0.0092166	0.0953098	0.00598439	0.0170737	0.00357333	0.00696405	0.00378762	0.00927222	1.000138	0.500238	0.499762	1.343923
