Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-744.4346	-815.3825	70.94784	0.0207067	0.00448364	0.0244231	0.0112748	0.00358288	0.00218236	0.000633731	0.00209215	0.00191816	0.00233567	0.0127402	0.00554462	0.00323243	0.0017744	0.00998676	0.00280845	0.00396947	0.00187292	0.0030269	0.0360811	0.00652196	0.00301998	0.00454806	0.00883847	0.000698598	0.00162578	0.0121281	0.00862212	0.00100499	0.011708	0.00094411	0.00392194	0.00814169	0.00127873	0.00577247	0.00983095	0.00282023	0.0181363	0.00604662	0.00685436	0.0560255	0.0189458	0.00325772	0.00454132	0.0112389	0.0140946	0.0269627	0.0666918	0.00667918	0.00494359	0.0137141	0.7823977	0.6425725	0.0185444	0.143022	0.545132	1.83442	6.99193	53.9246	2.8833	0.0410661	0.00889208	0.0484366	0.0223605	0.00710565	0.00432811	0.00125683	0.0041492	0.00380415	0.00463216	0.0252666	0.0109962	0.00641064	0.00351903	0.019806	0.00556979	0.00787236	0.00371443	0.00600302	0.0715569	0.0129345	0.0059893	0.00901983	0.0175287	0.00138548	0.0032243	0.0240528	0.0170996	0.00199313	0.0232196	0.00187238	0.0077781	0.0161468	0.00253602	0.0114481	0.019497	0.00559314	0.0359683	0.0119918	0.0135937	0.111111	0.0375739	0.00646079	0.00900647	0.0222892	0.0279527	0.053473	0.132265	0.0132463	0.00980426	0.0271982	1.067225	0.608801	0.391199	0.5042291
36	-743.8219	-814.4675	70.64561	0.0493282	0.0398997	0.011213	0.0588381	0.00202512	0.000119814	0.00441753	0.0045447	0.00147081	0.00443081	0.0135473	0.00139156	0.0029085	0.00590872	0.029466	0.00834899	0.00164176	0.0093007	0.0162959	0.0415636	0.0127439	0.00263571	0.0022968	0.000697408	0.00478855	0.00694875	0.0172794	0.0127535	0.00294039	0.0138705	0.00456983	0.000226149	0.0011563	0.000608614	0.00466368	0.0107234	0.00920744	0.0130212	0.00568869	0.0214248	0.0925404	0.00201873	0.0468644	0.0155252	0.00648654	0.0190132	0.0104079	0.0704396	0.0136798	0.000284125	0.0337569	0.9478567	0.9008817	0.0218291	0.154862	0.558827	1.78946	6.45738	45.8104	2.765385	0.0644036	0.0520937	0.0146399	0.07682	0.00264403	0.000156431	0.00576759	0.00593363	0.00192031	0.00578493	0.0176876	0.00181684	0.00379737	0.00771451	0.0384713	0.0109006	0.0021435	0.0121431	0.0212762	0.054266	0.0166387	0.00344122	0.00299874	0.000910546	0.006252	0.0090724	0.0225602	0.0166511	0.00383902	0.0181095	0.00596643	0.000295263	0.00150969	0.000794615	0.00608897	0.0140007	0.0120214	0.0170007	0.00742724	0.0279726	0.120822	0.00263568	0.0611869	0.0202699	0.00846893	0.0248239	0.0135887	0.091967	0.0178606	0.000370958	0.0440735	1.015325	0.526072	0.473928	0.7659226
72	-753.3372	-824.2527	70.91557	0.025149	0.0932316	0.0574636	0.037137	0.00519811	0.00459346	0.000566643	0.015623	0.002085	0.00142146	0.034187	0.00269409	0.00141633	0.000398088	0.0464446	0.00615695	0.012951	0.00930166	0.0393942	0.0323596	0.00709763	0.00401579	0.0017047	0.00302833	0.0130042	0.00750632	0.0151233	0.016797	0.00317235	0.0051581	0.00512667	0.0074721	0.005766	0.00246378	0.0049578	0.0118784	0.0062658	0.0229491	0.00333163	0.0296988	0.200246	0.00448752	0.0116833	0.0155615	0.0384306	0.0338974	0.0151267	0.0914701	0.00437589	0.0114029	0.00159708	0.8763927	0.7799813	0.0362521	0.198328	0.603666	1.65655	5.04216	27.5846	2.398607	0.0243558	0.090291	0.0556511	0.0359657	0.00503416	0.00444858	0.00054877	0.0151302	0.00201924	0.00137663	0.0331087	0.00260911	0.00137166	0.000385531	0.0449797	0.00596275	0.0125425	0.00900827	0.0381516	0.0313389	0.00687376	0.00388913	0.00165093	0.00293282	0.012594	0.00726956	0.0146463	0.0162672	0.00307229	0.00499541	0.00496497	0.00723642	0.00558413	0.00238607	0.00480142	0.0115038	0.00606817	0.0222252	0.00322655	0.0287621	0.19393	0.00434598	0.0113148	0.0150706	0.0372184	0.0328282	0.0146495	0.088585	0.00423786	0.0110432	0.0015467	1.037109	0.561804	0.438196	1.032569
108	-763.8008	-835.043	71.24222	0.0559798	0.0122134	0.0277258	0.0163516	0.00359879	0.00727216	0.000357478	0.00756071	0.00312544	0.000599917	0.0496021	0.00464722	0.000197028	0.0027526	0.0337528	0.0035043	0.0139626	0.0087883	0.0254709	0.0439148	0.0232651	0.00139885	0.00495727	0.0314146	0.00305019	0.00578247	0.0139475	0.00535009	0.00908548	0.0473471	0.00674367	0.0150356	0.033658	0.00144432	0.0236888	0.0234458	0.00126702	0.0615517	0.00919955	0.0198862	0.0975155	0.00374834	0.0249341	0.024853	0.00519248	0.0275524	0.0308962	0.0384239	0.00478931	0.00346425	0.00431296	0.8313775	0.7114166	0.0439716	0.217907	0.62166	1.6086	4.58911	22.742	2.25902	0.0602854	0.0131528	0.0298583	0.0176093	0.00387559	0.00783149	0.000384973	0.00814223	0.00336583	0.000646059	0.0534171	0.00500465	0.000212182	0.00296431	0.0363488	0.00377383	0.0150365	0.00946424	0.02743	0.0472925	0.0250545	0.00150644	0.00533855	0.0338309	0.00328479	0.00622722	0.0150202	0.00576159	0.00978428	0.0509888	0.00726235	0.0161921	0.0362467	0.00155541	0.0255108	0.0252491	0.00136447	0.0662858	0.00990712	0.0214157	0.105016	0.00403663	0.0268518	0.0267645	0.00559185	0.0296715	0.0332726	0.0413792	0.00515768	0.0037307	0.00464469	1.051317	0.584311	0.415689	0.9285795
144	-757.1968	-827.8506	70.65379	0.0417802	0.0628611	0.0134389	0.0575135	0.0129272	0.00514195	0.00167764	0.00631263	0.00586276	0.0036703	0.0476699	0.00104417	0.0264909	0.00658101	0.0562841	0.0102011	0.00251137	0.0105844	0.0261587	0.0233069	0.016674	6.01455e-05	0.00313618	0.00634577	0.00886193	0.00672571	0.0320655	0.0229867	0.0130452	0.0306468	0.0163197	0.0117966	0.101105	0.00775994	0.0104761	0.0150512	0.0141546	0.0106946	0.0100612	0.0375209	0.12837	0.00897893	0.0532105	0.00589682	0.015493	0.00171745	0.0797478	0.00350801	0.00432654	0.00778619	0.0347788	1.068618	1.147346	0.0502557	0.232576	0.634424	1.57623	4.29967	19.8983	2.162433	0.0366069	0.0550776	0.0117749	0.0503921	0.0113265	0.00450526	0.00146991	0.00553099	0.00513683	0.00321584	0.0417674	0.000914881	0.0232107	0.00576614	0.0493149	0.00893795	0.00220041	0.00927384	0.0229197	0.020421	0.0146094	5.26982e-05	0.00274785	0.00556002	0.00776463	0.00589292	0.0280951	0.0201405	0.0114299	0.026852	0.014299	0.0103359	0.088586	0.00679909	0.00917896	0.0131875	0.0124019	0.0093704	0.00881545	0.032875	0.112475	0.00786714	0.0466219	0.00516667	0.0135746	0.00150479	0.0698733	0.00307364	0.00379082	0.00682209	0.0304725	0.9805239	0.465691	0.534309	1.14132
180	-755.9986	-827.402	71.40338	0.0127873	0.00606528	0.0226698	0.0115962	0.00213213	0.000197479	0.000497321	0.000232715	0.000250096	0.0128188	0.00252787	0.00123724	0.00483381	0.00571123	0.0117917	0.0046551	0.0023861	0.00249919	0.00570319	0.0135275	0.0125236	0.011341	0.00504957	0.00874049	0.00528997	0.000916245	0.00273339	0.0115527	0.00370905	0.0101461	0.00678036	0.00708879	0.0519319	7.49066e-05	0.00594306	0.00781228	0.00522348	0.0103678	0.0100579	0.00748047	0.028537	0.00618157	0.0130647	0.000912991	0.00241442	0.00891567	0.0132956	0.00519175	0.00188006	0.00773362	0.00576956	0.5254179	0.3563165	0.0184493	0.142664	0.544705	1.83586	7.00948	54.2025	2.887017	0.0317477	0.0150586	0.0562833	0.0287904	0.00529353	0.00049029	0.00123472	0.000577772	0.000620926	0.0318258	0.00627605	0.00307174	0.0120011	0.0141795	0.0292758	0.0115574	0.00592409	0.00620485	0.0141596	0.0335854	0.0310929	0.0281569	0.0125368	0.0217004	0.0131336	0.0022748	0.00678631	0.0286823	0.00920864	0.0251902	0.0168339	0.0175997	0.128934	0.000185974	0.0147551	0.0193959	0.0129686	0.0257405	0.0249713	0.0185721	0.0708501	0.0153473	0.0324362	0.00226672	0.00599438	0.0221353	0.0330096	0.0128898	0.00466772	0.0192006	0.0143243	1.159258	0.737291	0.262709	0.40278
216	-757.7935	-828.979	71.18541	0.0230456	0.00367288	0.0121992	0.00267745	0.00437227	0.000504855	0.000483611	2.1582e-05	0.00254577	0.00758733	0.00882392	0.000897333	0.00160689	0.00118413	0.0136061	0.00344835	0.00348081	0.00563892	6.46047e-05	0.00698758	0.00294179	0.0163232	0.0231829	0.0139458	0.000720147	0.00313899	0.00306803	0.00291837	0.00788656	0.0325918	0.0022063	0.00800796	0.0105639	0.00269297	0.00450933	0.00554491	0.000121819	0.00409831	0.00584549	0.0867333	0.0146468	0.00898633	0.0014349	0.000410114	0.00711513	0.00241024	0.00540988	0.000711986	0.00147269	0.00643452	0.003865	0.5149256	0.3467339	0.0133677	0.121919	0.518646	1.9281	8.20215	74.8074	3.119982	0.0586716	0.00935079	0.031058	0.00681652	0.0111313	0.00128531	0.00123122	5.49455e-05	0.00648128	0.0193166	0.0224648	0.00228452	0.00409097	0.00301467	0.0346398	0.00877915	0.00886178	0.0143561	0.000164477	0.0177897	0.00748949	0.0415573	0.0590214	0.0355045	0.00183342	0.00799156	0.00781088	0.00742987	0.0200784	0.0829753	0.00561701	0.0203875	0.0268946	0.00685602	0.0114803	0.0141168	0.000310139	0.0104339	0.014882	0.220814	0.0372893	0.0228783	0.0036531	0.00104411	0.0181144	0.00613624	0.013773	0.00181264	0.00374932	0.0163816	0.0098399	1.163354	0.742537	0.257463	0.3927886
252	-747.9702	-818.7535	70.78337	0.0349621	0.00134658	0.020059	0.0304882	0.00311182	0.00196241	0.00249949	2.48589e-05	0.00027359	0.00140366	0.00809101	0.000159585	0.00199047	0.00104481	0.0115251	0.00337597	0.000504996	0.00294801	0.0010023	0.00256905	0.00615387	0.00399911	0.0059182	0.00771045	0.000707794	0.00355098	0.00093467	0.00516382	0.00599183	0.0049645	0.00763631	0.00478607	0.00286752	0.00439511	0.00244046	0.014633	0.000369217	0.00425444	0.0078412	0.0582058	0.00815653	0.00332533	0.000585063	0.00395707	0.00869769	0.00106994	0.0367149	0.000688079	0.00480897	0.0080139	0.00716057	0.8421133	0.7272847	0.0183465	0.142276	0.544242	1.83742	7.0286	54.5062	2.891057	0.0957747	0.00368881	0.0549494	0.0835189	0.00852447	0.00537581	0.00684705	6.80982e-05	0.000749468	0.00384517	0.0221644	0.000437166	0.00545267	0.00286213	0.0315717	0.00924808	0.00138338	0.00807574	0.00274569	0.00703762	0.0168578	0.0109551	0.0162122	0.0211219	0.00193892	0.00972751	0.00256042	0.0141457	0.0164139	0.0135997	0.0209188	0.0131109	0.00785525	0.0120399	0.00668535	0.0400854	0.00101143	0.0116545	0.0214801	0.159448	0.0223439	0.00910937	0.00160271	0.0108399	0.0238263	0.00293098	0.100576	0.00188491	0.0131736	0.0219532	0.0196156	1.047893	0.578943	0.421057	0.3650453
288	-752.7414	-823.5647	70.82329	0.0149134	0.00514616	0.0189328	0.0071863	0.00416223	0.00133882	0.000129615	0.000987863	0.000514147	0.00862978	0.0157224	0.00125357	0.00254272	0.000223235	0.00947518	0.00609509	0.00338658	0.0156745	0.00779856	0.020287	0.0081315	0.0010356	0.00566022	0.00448678	0.000593049	0.000569247	0.0127127	0.000819996	0.00808141	0.0102374	0.00404272	0.0104367	0.00177518	0.00116525	0.00134747	0.00780968	0.00235332	0.00851082	0.00198823	0.057603	0.0220501	0.0023756	0.00380894	0.00598301	0.0137517	0.00094846	0.0341632	0.00512181	0.00599369	0.000825238	0.0190973	0.7858399	0.6472293	0.0161769	0.133805	0.53392	1.87294	7.47354	61.8166	2.98206	0.0365634	0.0126169	0.0464176	0.0176187	0.0102046	0.00328239	0.000317778	0.00242195	0.00126054	0.0211577	0.0385466	0.00307339	0.006234	0.000547307	0.0232304	0.0149434	0.0083029	0.0384293	0.0191198	0.0497378	0.019936	0.00253899	0.0138772	0.0110003	0.00145398	0.00139563	0.0311679	0.00201039	0.0198132	0.0250991	0.00991155	0.0255878	0.00435222	0.00285686	0.0033036	0.019147	0.00576964	0.020866	0.00487455	0.141226	0.0540604	0.00582427	0.0093384	0.0146686	0.0337151	0.00232534	0.083758	0.0125572	0.0146948	0.00202324	0.046821	1.066091	0.60708	0.39292	0.4078794
324	-755.0095	-825.686	70.67649	0.0671845	0.0258059	0.036679	0.0209836	0.00185927	0.00813596	0.00815104	0.0180617	0.00432449	0.0303765	0.0220866	0.00345238	0.0107123	0.00602382	0.0498353	0.0104936	0.0109544	0.0197128	0.0246634	0.0712523	0.0141374	0.0200544	0.00539586	0.00585656	0.00542334	0.0019196	0.0150176	0.0030452	0.0647112	0.0626195	0.0101958	0.0178599	0.0119654	0.0080802	0.0140957	0.0856544	0.00783405	0.0187322	0.0581136	0.190241	0.0242512	0.0046314	0.00459519	0.00623845	0.0140646	0.00222485	0.150621	0.0103837	0.0251856	0.0118172	0.0483215	0.9438789	0.8937223	0.0540006	0.240873	0.6414	1.55909	4.15157	18.5183	2.110465	0.0488957	0.0187811	0.0266943	0.0152715	0.00135314	0.00592121	0.00593219	0.013145	0.00314729	0.0221075	0.0160742	0.00251258	0.00779624	0.00438403	0.0362693	0.00763703	0.00797243	0.0143466	0.0179496	0.0518562	0.010289	0.0145953	0.00392701	0.0042623	0.00394701	0.00139705	0.0109295	0.00221624	0.0470957	0.0455734	0.0074203	0.0129981	0.0087082	0.00588063	0.0102586	0.0623378	0.00570149	0.013633	0.0422941	0.138454	0.0176496	0.00337065	0.0033443	0.00454024	0.010236	0.0016192	0.109619	0.00755711	0.0183297	0.00860038	0.0351676	1.016514	0.528061	0.471939	1.374037
